"yine";"spanish";"source"
"Wale chinanu gi rumkata galixletna, gi rixanu rumepe wane chinretatnaka Gisayiya:";"Por esta razón no pudieron creer, porque Isaías dijo otra vez:";"bible"
"Maygalene rixkakna. Shikowgajkakna. Giygaleyna ma metinitipna. Ma mumata jemgajitinipna ma kashrijetikotupna. Nma mutskalakyanupna.";"El hizo cegar sus ojos, y endureció sus corazones; para que no vean con sus ojos y entiendan en sus corazones, y sean cambiados, y yo pueda sanarlos.";"bible"
"Wane gixkamka, seyni wa tsrukakaluneko gixo galixlu Wale, seyni wa Gwariseyone chinanu gi wa rupgujtatluna, ginkaklewwakapji ma muknokikotupna.";"Sin embargo, un número incluso de los gobernantes tenían fe en él, pero debido a los fariseos no lo dijeron abiertamente por temor a que pudieran ser expulsados. fuera de la sinagoga:";"bible"
"Gi rixanu ralukpotutluna yine gimalwure Goyakalu gimalwure pnute.";"porque la alabanza de los hombres les era más estimada que la aprobación de Dios.";"bible"
"Saplewata Geso. Wane china, ""Nalixjeru gi Gita ralixa seyni wa nyokanatjeru galikaka.";"Entonces Jesús dijo a gran voz: El que tiene fe en mí, no tiene fe en mí, sino en el que me envió.";"bible"
"Wa netjeru retkoxlu wa nyokanatjeru.";"Y el que me ve, ve al que me envió.";"bible"
"Gitni pokamlalno tye chiji ginachrino wa pejnuruneko nalixjene mapshagwaka mawinitipna.";"He venido como una luz al mundo, para que nadie que tenga fe en mí siga viviendo en la oscuridad.";"bible"
"""Satu jeminri ntokanu, gi wa ralixanru, gi wa Gita giklukanuwnayegjixanru. Gi rixanu gi wa nuna nuklukanuwnayegjixyapna tyechijne gajene, seyni nognetkakyapna tyechijne gajene.";"Y si alguno escucha mis palabras y no las guarda, yo no soy su juez; no he venido para ser juez del mundo, sino para dar la salvación al mundo.";"bible"
"Nuknokjeru, gi wa yoptotokanutno, waneru wa ruklukanuwnayegjixjerupa. Wa tokanchi nunkakletanru, wale giklukanuwnakakanru ralipregognepa.";"El que me desprecia y hace a un lado mis palabras y no toma mis palabras en serio, no está sin juez: la palabra que he dicho será su juez en el último día.";"bible"
"Gi rixanu gi wa Gitako nushinikanu nunkaklewata, seyni wa nyokanatjeru Girchi, Wale yokanatno wane nchinyawakapa, ga wa nunkakletanrupa.";"Porque no lo he dicho bajo mi autoridad, pero el Padre que me envió me dio órdenes sobre qué decir y cómo decirlo.";"bible"
"Numatlu Wale yokanatyawaka Walenwa giweklu gike rixiniko mnikawnakatu. Giyagni wa Gita ginkakletanru wa Girchi chinyawakno, wane nchina ginkakleta.""";"Y tengo conocimiento de que su orden es la vida eterna: de modo que las cosas que digo, las digo tal como el Padre las dice a mí.";"bible"
"Ma mapookanuwa meyiwlu Tsru Giknoglushgogne, rumata Geso wa gipapko gapokinritka, tyechijne rushpakinripatka, Girchi yegi yinripatka. Wane rixa gishinikletna Walenune tyechijne gwanatachine, yoptukyawakpotuko rushinikna.";"Antes de la fiesta de la Pascua, estaba claro para Jesús que había llegado el momento de irse de este mundo al Padre. Después de haber amado aquellos que estaban en el mundo que eran suyos, su amor por ellos llegó hasta el final.";"bible"
"Rali nachinewletinitkana kamchi gajitletkakatkalu Gota, wa Simo Giskaryote wgene, samyokyapatkalu.";"Así que, mientras comía, el Maligno ya había puesto en el corazón de Judas Iscariote, hijo de Simón, para traicionarlo,";"bible"
"Rumata Geso wa Girchi genekyalu pejnurkakako, ga wa Goyakalu yegi giyakatyachri, ga wa Goyakalu yegi ya.";"Jesús, consciente de que el Padre había puesto todo en sus manos, y que él vino de Dios y se fue a Dios,";"bible"
"Palnatka nachnewluyegiya. Komkaga. Sheyipisama rawa. Saprikapchijitnawa.";"se levantó de la mesa, se quitó la bata exterior, tomó un trapo y se lo puso en la cintura.";"bible"
"Wanepnute gerkapi rutakgatlu gonu. Yinuwaka gerkajixletna yimaklene. Sheyipisama saprikapchijitanruya sheyityana.";"Luego puso agua en un lebrillo y lavó los pies de los discípulos y los secó con el paño que llevaba en la cintura.";"bible"
"Giyagni Simo Petro yegi runini, Petro wane chinru, ""Gitsrukaachi, ¿Pixlege gerkajixitanno?""";"Entonces vino a Simón Pedro. Pedro dijo: Señor, ¿son mis pies lavados por ti?";"bible"
"Rugita Geso. Wane chinru, ""Wa Gita kamrutanru, gi wa xani pumata jemlu. Wa gowukshiniyaka pumata jemanru.""";"Y Jesús, respondiendo, le dijo: Lo que yo hago no está claro para ti ahora, pero te será claro a su tiempo.";"bible"
"Wane chinru Petro, ""Gike pixiniko perkajixitanno."" Geso gigitlu, ""Nma merkakanyi maleshayapyi Gitanuya.""";"Pedro dijo: Nunca dejaré que mis pies sean lavados por ti, nunca. Jesús dijo en respuesta: Si no te los lavo, no tienes parte conmigo.";"bible"
"Wane chinru Simo Petro, ""Gitsrukaachi, gi wa nojixipje, seyni nomyo koxa ga wa nojiwu koxa.""";"Simón Pedro le dijo: Señor, no sólo mis pies, sino mis manos y mi cabeza.";"bible"
"Wane chinru Geso, ""Wa gerkakalurutka, gi wa magatatka. Satupjetkalu wa gijixipje gerkako, seyni psoluyako powratka. Ga wa gixa powralungi, seyni gi wa pejnurunekgi.""";"Jesús le dijo: El que está recién bañado no tiene más que lavarse los pies y luego está limpio; y ustedes, mis discípulos, están limpios, pero no todos.";"bible"
"Gi rixanu rumatlu samyokjerupa. Giyagni wane china, ""Gi wa pejnurunekgi powra.""";"Él sabía quién le iba a traicionar, por eso dijo: ""No están limpios todos"".";"bible"
"Giyagni rali gerkajixitletinitkana, wa rawamkatinitka, tuplatatnaka nikikowakaya. Wane chinna, ""¿Gi ge gimatlu wa nixyawakgi?";"Luego, después de lavarse los pies y volver a ponerse la bata, se sentó y les dijo: ¿Saben lo que les he hecho?";"bible"
"Gixa wane chinjetno, 'Yimaklewatachri ga wa Gitsrukaachi.' Wanepotuko nchina, gi rixanu Gitakni.";"Ustedes me dan el nombre de Maestro y Señor; y tienen razón; eso es lo que soy.";"bible"
"Maka Gita wa Gitsrukaachino ga wa Yimaklewatachrino nerkajixitgi, gixa koxa gimkata gerkajixkakleta.";"Si yo, el Señor y el Maestro, he limpiado sus pies, es correcto que se limpien los pies unos a otros.";"bible"
"Gi rixanu gyimanrupa nekakgitgi, gixa koxa kamrutyaplu nkamrutyagi.";"Les he dado un ejemplo, para que puedan hacer lo que les he hecho.";"bible"
"Galikakni, galikakni wane nchingi, wa wayegrechri gi wa rutsrukate pnute tsruni wale. Wa yokanatkaluru gi wa yokanatjeru pnute tsruni wale.";"De cierto os digo que un siervo no es mayor que su señor; y el enviado no es mayor que el que lo envió.";"bible"
"Tyekaka gimatini, giglenshinikanyegitkalunepgi wa wane gixinipa.";"Si estas cosas están claras para ustedes, felices son ustedes si las hacen.";"bible"
"""Gi wa pejnurunekgi gixapirana wane nchina. Gita gimatna ginnanwa ntsomitanune, seyni poyagkaakalurupa satu tokanchi yonatkaluru, wane chinachri: Wa Gitayma jimapro nikachri rumtukno yokwireya.";"No estoy hablando de todos ustedes: yo se quienes son mis verdaderos discípulos, pero las cosas son como son, para que las Escrituras se hagan realidad, el que come el pan conmigo se ha vuelto contra mí.";"bible"
"""Xanigognenanu nunkakgi ma mapookanuwa, wa rapokinipa galixanno Gita nixinri.";"De aquí en adelante, les digo esto de antemano antes de que sucedan, para que cuando surjan, puedan creer que yo soy él.";"bible"
"Galikakni, galikakni wane nchingi, wa nyokanatanru yoptotachri Gita yoptota. Ga wa Gita yoptotachri nyokanatjeru yoptota.""";"De cierto les digo, que el que recibe en su corazón a cualquiera a quien yo envíe, me lleva en su corazón; y el que me recibe a mí, recibe al que me envió.";"bible"
"Wane chininitka Geso, kojwakanshinikanuta. Rupgujtalewata. Wane china, ""Galikakni, galikakni wane nchingi, satu gixa nchininri wale samyokanno.""";"Cuando Jesús hubo dicho esto, se turbó en espíritu, y dio testimonio, diciendo: De cierto les digo que ninguno de ustedes me será fiel.";"bible"
"Giyagni yimaklene getjekaka. Gi rumatanshinikanutna katupiranni wane china.";"Entonces los ojos de los discípulos se volvieron el uno al otro, en la duda de a quién tenía en mente.";"bible"
"Waneru satu yimakleru Geso gishinikanru, Geso gitspanostatachri.";"Había en la mesa uno de sus discípulos, a quien Jesús amaba, que apoyaba la cabeza en el pecho de Jesús.";"bible"
"Giyagni Simo Petro gitnoyegitlu tye, wa repomgiyaplu katupiranni wane china.";"Haciéndole una señal, Simón Pedro dijo: ¿De quién está hablando?";"bible"
"Geso gitspanostatachri wane chinru, ""Gitsrukaachi, ¿katni wale?""";"Entonces, él, apoyando la cabeza en el pecho de Jesús, le dijo: Señor, ¿quién es?";"bible"
"Giyagni rugita Geso, ""Waleni Gita genekanrupa psoji gigakachri."" Wale gigaklu psoji. Reneklu Gota Giskaryote, wa Simo wgene.";"Esta fue la respuesta que dio Jesús: es a quien le daré este pedazo de pan después de haberlo puesto en el recipiente. Luego tomó el pedazo de pan, lo puso en el recipiente y se lo dio a Judas, el hijo de Simón Iscariote.";"bible"
"Psoji niklokinitka, Satanasyo jiglokatkalu. Giyagni Geso wane chinru, ""Pkamrutanru giyampotu pkamrutanru.""";"Y cuando Judas tomó el pan, Satanás entró en él. Entonces Jesús le dijo: Haz lo que tienes que hacer rápidamente.";"bible"
"Gi satuna nikikowakaya tuplanatachine gimata klu chinanu wane chinru.";"Ahora no estaba claro para nadie en la mesa por qué le dijo esto.";"bible"
"Gi rixanu pimrine kagwaklu wa Gota ktsapane rixinri, Geso wane chinru, ""Pagjitanru wa walukanru meyiwlu chinanu, waka kwamonurune renekanu pagixanu.""";"Algunos opinaron que debido a que Judas guardó la bolsa de dinero que Jesús le dijo, consiga las cosas que necesitamos para la fiesta; o, que debía dar algo a los pobres.";"bible"
"Giyagni wale yoptotinitkalu psoji, waneklu rushpakamtatka. Goyechnotkani.";"Entonces Judas, que había tomado el pedazo de pan, salió de inmediato; y fue de noche.";"bible"
"Giyagni rushpakamtinitka, wane china Geso, ""Xanitkani njiglokanutka noyaknu Gita Yineru Wgenno. Ga wa Goyakalu gimalwutikolpatka Gita chinanu.";"Entonces, cuando salió, Jesús dijo: Ahora es glorificado el Hijo del hombre, y Dios es glorificado en él.";"bible"
"Goyakalu gimalwutikolupa Gita chinanu, Goyakalu chinanu koxa Gita gimalwutikolupa. Xaniyakawa numalwutikolupa Goyakalu chinanu.";"Si a Dios se le da gloria en él, Dios le dará gloria en sí mismo, y le dará gloria ahora mismo.";"bible"
"""Wiwine, pshinitsonu numwanutkagi. Gijganmakno. Wa Goteyone nchinyawaka, wa nyiyawakapa Gita, gixa gi gimkata wane yaletanu. Wane koxa nchingi gixa xani.";"Mis queridos hijos, solo debo estar con ustedes un poco más de tiempo. Entonces me estarán buscando, y como les dije a los judíos, ahora les digo: adónde voy, es posible que no vengan.";"bible"
"""Satu yokanru gerotu nenekgi, wa gishiniikakinripa. Gita gishinikinikopixkagi, waneko pixka gixa gishiniikakletanu.";"Les doy un nuevo mandamiento: ámense unos a otros; así como he tenido amor por ustedes, también deben amarse unos a otros.";"bible"
"Wale chinanu pejnuruneko gimatanu gixni wa nyimaklengi, wa gixkakluko gishiniikakinripa.""";"Por esto, será claro que ustedes son mis discípulos, si tienen amor el uno por el otro.";"bible"
"Simo Petro wane chinru, ""Gitsrukaachi, ¿ginaka pyanu?"" Geso gigitlu, ""Wa nyiyawakapa Gita gi pumkata gomkagletanno wa xani. Wa gowukshini pomkagitanno.""";"Simón Pedro le dijo: Señor, ¿a dónde vas? Jesús dijo en respuesta: ""A dónde voy, no pueden seguirme ahora, pero me seguirás después"".";"bible"
"Petro wane chinru, ""Gitsrukaachi, ¿klu chinanu gi numkata gomkagletanyi wa xani? Pixa chinanu nutakanru nuwekinri.""";"Pedro le dijo: ¿Por qué no iré contigo ahora? Daré mi vida por ti.";"bible"
"Geso gigitlu, ""¿Gita chinanu putakanru puwekinri? Galikakni, galikakni, wane nchinyi, ma yanumatkanuwa gaxawripa, mapa kata pnutatanno.";"Jesús dijo en respuesta: ¿Darás tu vida por mí? En verdad te digo, antes que cante un gallo habrás dicho tres veces que no eres mi discípulo.";"bible"
"""Gi gkojwakanshinikangajitinwa. Galixlu Goyakalu. Galixankoxno Gita.";"No se turbe su corazón; tengan fe en Dios y tengan fe en mí.";"bible"
"Nurupji gixo gwikwaka wane. Wane ma mixkanumka, nunkakanmakgi. Giyagni nyanuchi. Nalpoktapingi gwiyawakapa gixanupa.";"En la casa de mi Padre hay habitaciones suficientes; si no fuera así, ¿habría dicho que voy a preparar un lugar para ustedes?";"bible"
"Nyinpatka, nalpokotiniplu gwikowakapa gixanupa, nunanutnaka. Gitako gwapanutkagi. Nwiyawaka koxa Gita, wane koxa gwanu gixa.";"Y si voy y preparo un lugar para ustedes, volveré y les llevaré para que estén conmigo, para que estén donde yo estoy.";"bible"
"Gimatlu ginaka nyanu. Gimatgapotlu.""";"Y todos ustedes saben a dónde voy y el camino hacia él.";"bible"
"Tomasu wane chinru, ""Gitsrukaachi, gi wumata ginaka pyanu. ¿Gi wixpoko gimatletanru wa gatnugapo?""";"Tomás dijo: Señor, no sabemos a dónde vas; Señor cómo sabremos tu camino ?";"bible"
"Geso wane chinru, ""Gitni wa gatnugapo, ga wa tokanchi galikakpotu, ga wa giweklu. Gike yayegitlu Girchi, seyni Gitapje chinanu yayegitka Girchi.";"Jesús le dijo: Yo soy el camino la verdad y la vida: nadie viene al Padre sino por mí.";"bible"
"Gimatinno, Nuru koxa gimatanu. Xaniyakawa gimatlu. Getatkalu.""";"Si ustedes me conocieran, conocerían a mi Padre; ahora ustedes lo han conocido y lo han visto.";"bible"
"Wilipi wane chinru, ""Gitsrukaachi, pekakgitanwu wa Girchi. Poyagota wixa chinanu.""";"Felipe le dijo: Señor, veamos al Padre, y no tenemos necesidad de nada más.";"bible"
"Geso wane chinru, ""Gi pomshiniko numwatkagi, ¿gi ge pumatno, Wilipi? Wa netjeru retkoxlu Girchi. ¿Gi pchinkoxge pixa, 'Pekakgitanwu Girchi?'";"Jesús le dijo: Felipe, ¿he estado contigo todo este tiempo, y aún no me has conocido? El que me ha visto ha visto al Padre. ¿Por qué dices, muéstranos al padre?";"bible"
"¿Gi ge palixno wa Gita Girchi nwinri, ga wa Girchi Gita rawa? Wa tokanchi nunkakyagi, gi wa Gitako nonshinikanu wane nchina. Seyni wa Girchi Gita gwachri Wale kamrutlu wa kamrurchikaka.";"¿No tienes fe en que yo estoy en el Padre y el Padre está en mí? Las palabras que yo les digo, no les digo de mí mismo: pero el Padre que está en mí todo el tiempo hace sus obras.";"bible"
"Galixanno Girchi nwinri, ga wa Girchi Gita rawa. Gma wane gixkanupa, galixanno kamrurchiyako.";"Tengan fe en que yo estoy en el Padre y que el Padre está en mí: al menos, tengan fe en mí por lo que hago.";"bible"
"""Galikakni, galikakni wane nchingi, wa kamrurchikaka nkamrutanru nalixjeru koxa kamrutanru. Ga wa tyekaka pnute kamrutanu nalixjeru, gi rixanu Girchi yegi nyanu.";"En verdad les digo, el que pone su fe en mí hará las mismas obras que yo hago, y él hará cosas más grandes que estas, porque yo voy a mi Padre.";"bible"
"Klunerukokta gagjitanru Girchi ngiwakaya, wale nkamrutanu, Girchi gimalwutikolupa Gituru chinanu.";"Y cualquier petición que hagan en mi nombre, lo haré, para que el Padre se gloríe en el Hijo.";"bible"
"Klunerukokta gagjitinipa ngiwakaya, Gita kamrutanru.";"Si me piden algo en mi nombre, lo haré.";"bible"
"""Gishinikinipno gkamrutanru nyokanatanrukaka.";"Si me aman, guardarán mis mandamientos.";"bible"
"Gita gagjitanru Girchi ga wa satu Kgimnanukakleru renekangi, gixa yegi gwagognenatachripa.";"Y haré oración al Padre y él les dará otro Ayudador para que esté con ustedes para siempre,";"bible"
"Walenwa Giwekikaluru galikakpotunanu. Wale tyechijne gajene gi gimkata yoptoletanru, gi rixanu gi retluna. Gi koxa rumatluna. Gixa gimatlu gi rixanu gixa yegi rawa, ga wa gixa gitokote rawanu.";"Incluso yo le pediré al Padre que les envíe el Espíritu del verdadero conocimiento. Ese Espíritu que el mundo no puede recibir porque no lo ve y no tiene conocimiento de él, pero usted tiene conocimiento de él, porque él está siempre con ustedes y estará en ustedes.";"bible"
"""Gi wa murungi nuknokamtanu. Nyayegitangi.";"No los dejaré huérfanos: voy a regresar con ustedes.";"bible"
"Pshinitsonu tyechijne gajene gi getanutkano, ga wa gixa getanno, gi rixanu Gita giweka, ga wa gixa koxa giwekanu.";"Un poco más de tiempo, y el mundo no me verá más; pero me verán ustedes; y vivirán porque estoy vivo.";"bible"
"Walegogne gimatanu wa Girchi nwinri, ga wa Gita gwa gixa, ga wa gixa nwa Gita.";"En ese momento les será claro que yo estoy en mi Padre, y ustedes están en mí, y yo en ustedes.";"bible"
"Nyokanrekaka waneyalutu, ga wa wale kamrutachri, walenwa nushinikjeru. Nushinikjeru Nuru gishinikanrupa. Gita gishinikanru. Nupgujetinwa wale yegi.""";"El que recibe mis mandamientos y los guarda, ése es el que me ama; y el que me ama será amado por mi Padre, y yo le amaré, y me dejaré ver claramente por él.";"bible"
"Gota gi wa Giskaryotni wale, wane chinru, ""Gitsrukaachi, ¿klunerni wa tye wa wixa yegi pupgujetinwa, gi wa tye psolchijne gajeneko yegi?""";"Judas (no Iscariote) le dijo: ¿Cómo es que te dejarás ver claramente por nosotros y no por el mundo?";"bible"
"Geso gigitlu. Wane chinru, ""Girukokta gishinikinipno rumretatokanutanno. Nuru gishinikanru wale. Wale yegi gayanu. Wale yineru yegi gawgognenatanu.";"Respondió Jesús y le dijo: Si alguno me ama, guardará mis palabras; y amará a mi Padre; y vendremos a vivir con él.";"bible"
"Nma mushinikjetu gi gimretanru ntokanu. Ga wa tokanchi gyijnakotanru gi wa Gitanni, seyni Girchi wa nyokanatjeru tokanni.";"El que no me ama no guarda mis palabras; y la palabra que están oyendo no es mi palabra sino la del Padre que me envió.";"bible"
"""Tyekaka nunkakgi gixa yegi nwanatini.";"Les he dicho todo esto mientras todavía estoy con ustedes.";"bible"
"Wa Kgimnanukakleru, Giwekikaluru Kpashiri, wa Girchi yokanatanru Gita giwakaya, Wale gimatkakangi pejnurukopirana. Rushiniikakangi pejnurupiranako nunkakyagi.";"Pero el Ayudador, el Espíritu Santo, a quien el Padre enviará en mi nombre, será su maestro en todas las cosas y les recordará todo lo que les he dicho.";"bible"
"Giglewanshinikanru nuknokyegimtgi. Nuglenunshinikanu nenekgi. Gi wa tyechijne gajene genekle pixka, Gita genekyagi. Gi wa gkojwakanshinikanutinwa. Gi wa kpiklegolunepgi.";"Que la paz sea con ustedes; mi paz les doy: no la doy como el mundo da. No dejen que su corazón esté preocupado; no tengan miedo.";"bible"
"""Gyijnakotlu wa nunkakyawakgi: 'Nyanu, ga wa nunanutnaka gixa yegi.' Gishinikinipno, gimuwatanmaka, gi rixanu wane nchina, Girchi yegi nyanu. Gi rixanu Girchinwa Gita pnute tsru.";"Recuerda cómo les dije: me voy y vuelvo otra vez. Si me amaran, se alegrarán, porque iré al Padre; porque el Padre es más grande que yo.";"bible"
"Ga wa xani nunkakatkagi ma mapookanuwa, wa wane rixinpatka galixinripa.";"Y ahora les he hablado de ello antes, para que cuando suceda, puedan creer.";"bible"
"Gi wa gixo potu nuynumsatanutkagi, gi rixanu runatka kamchi, tyechijne gitsrukate. Gike waneylu wa Gitaya.";"Después de esto no les hablaré mucho, porque el príncipe de este mundo viene; y él no tiene poder sobre mí;";"bible"
"Seyni rumatinripna tyechijne gajene Girchi nushinikinri, ga wa Girchi yokanatyawakno wane nixa kamrureta. ""Ntunwatanu. Gewi gayinitka.";"Así tiene que ser, para que el mundo pueda ver que tengo amor por el Padre, y que estoy haciendo lo que el Padre me ordena. Levántense y vámonos.";"bible"
"""Gitni wa gowatsno galikakpotu. Nurni wa kgisanateru.";"Yo soy la vid verdadera y mi Padre es el jardinero.";"bible"
"Pejnuruko giplutsa Gita gwachri, gi kajru, Wale konanru. Ga wa pejnuruko kajiru Wale powratanru jiwpotutinripatka.";"El quita de mí todo aquel que no tiene fruto, y todo aquel que tiene fruto, lo limpia para que tenga más fruto.";"bible"
"Ga wa gixa powralunetkagi tokanchi chinanu wa nunkakyagi.";"Ustedes ya están limpios, incluso ahora, a través de la enseñanza que les he dado.";"bible"
"Gita gwanu gixa. Gixa nwanu Gita. Wa giplutsa pixka gi rumkata gwaleta walenanuko, wa gowatsa mwakatu rixini, waneko pixka gixa, Gita gmawakanu.";"permanezcan en mí en todo momento como yo en ustedes. Como la rama no puede da fruto por sí misma, porque no está unida a la vid, tampoco podrán hacerlo si no están en mí.";"bible"
"""Gitni wa gowatsno. Gixni wa giplutsa. Gita gwachri, wa wale nwini Gita, wale gixoji gwiylu. Gi rixanu Gita mwakatu gike gimkata kamrureta gixa.";"Yo soy la vid, ustedes los pámpanos; el que en mí está en todo tiempo, como yo estoy en él, dará mucho fruto, porque sin mí no pueden hacer nada.";"bible"
"Girukta gi gwinno, maleka giknookalurupa wa giplutsa pixka. Rupriganu. Rawanruna. Xirnachri ruknokanruna, ga wa xirnanu.";"Si un hombre no permanece en mí, será echado fuera y es cortado como una rama seca; tales ramas son tomadas y se queman en el fuego.";"bible"
"Gita gwini. Gixa rawini ntokanu, galukanru pejnunanuka gagjitanu. Waneyapgi.";"Si ustedes permanecen en mí todo el tiempo, y mis palabras están en ustedes, entonces cualquier cosa que pidan lo que quieran se les dará a ustedes.";"bible"
"Waleya rumalwutika Nuru, wa gixa gixo Wale kamrure gwinri. Wane gixinipa nyimaklenepgi.";"Así es glorificado mi Padre, en que ustedes dan mucho fruto y también son mis verdaderos discípulos.";"bible"
"""Girchi gishinikinikopixkano, wane nixa gishinikletgi. Nushiniklewle gomkagitanu.";"Así como el Padre me ha dado su amor, así les he dado todo mi amor: permanezcan en mi amor.";"bible"
"Gkamrutiniplu nyokanrekaka nushiniklewle gomkagita. Gita pixka Nuru yokanrekaka nkamruta ga wa rushiniklewle nomkagita.";"Si guardan mis mandamientos, siempre permanecerán en mi amor, así como yo he guardado los mandamientos de mi Padre, y siempre permanezco en su amor.";"bible"
"Tyepirana nunkakgi, numuwle waneyapgi, ga wa gixa gimuwle tseruwnapotutinripa.";"Les he dicho estas cosas para que se alegren conmigo y compartan mi gozo en ustedes y para que su alegría sea completa.";"bible"
"""Tyenwa nyokanre, wa gishiniikakinripa, Gita gishinikinikopixkagi.";"Este es el mandamiento que les doy: ámense unos a otros, así como yo les amo.";"bible"
"Gikena waneya rushiniklewle tye pnute tsru, wa rutakyaplu ruwekinri rumatanune chinanu.";"Nadie tiene mayor prueba de amor, que el hombre entregue su vida por sus amigos.";"bible"
"Gixni wa numatanungi wa gkamrutinri nyokanatyagi.";"Ustedes son mis amigos, si hacen lo que yo les mando.";"bible"
"Gi wa wayegrechine nchinanutkagi, gi rixanu wa wayegrechri gi rumata kluneru kamruta wa rutsrukate. Seyni numatanune nchinatkagi, gi rixanu ptowrukakapirana nyijnakotanru Nuru yegi, numatkakgi.";"Ya no les doy el nombre de siervos; porque un siervo no sabe lo que hace su amo: les doy el nombre de amigos, porque les he dado ha conocer de todas las cosas que mi Padre me ha dicho.";"bible"
"Gi wa gixa tsomitno Gita, seyni Gita tsomitgi gixa. Nutakgi gyinripa, kiglerkaka gkamrutinripa, ga wa gkamrutanrupa gwagognenatinripa, wa klunerukokta gagjityaplu Girchi ngiwakaya Wale genekangi.";"No me escogieron ustedes, pero yo los escogí a ustedes; y les di el trabajo de ir y producir fruto y que ese fruto permanezca para siempre; de modo que cualquier cosa que pidan al Padre en mi nombre puede dárselas.";"bible"
"Tyenwa nyokanyegitgi, gishiniikakinripa.";"Así que este es mi mandamiento que se amen unos a otros.";"bible"
"""Tyechijne gajene gayegixinipgi, gimatanru Gita gapka rayegixna ma mayegixkanuwagina gixa.";"Si eres odiado por el mundo, recuerda que fui odiado primero.";"bible"
"Tyechijne gajene gixkamka, tyechijne gajene galukmakna wannanune. Seyni gi rixanu gi wa tyechijne gajengi ga wa Gita tsomitgi tyechijneya, giyagni rayegixgina tyechijne gajene.";"Si fueran del mundo, serían amados por el mundo; pero como no son del mundo, porque ya no son del mundo, son odiados por el mundo.";"bible"
"Gishinikanru wa tokanchi wa nchinyagi: Wayegrechri gi wa rutsrukate pnute tsruni. Gitpotuko kojwakinitkana, kojwakankoxgina gixa. Wa ntokanu rumretkamkana, gixanu koxa rumretanna.";"Tengan en cuenta las palabras que les dije, un siervo no es más grande que su señor. Si a mi me han perseguido, también a ustedes los perseguirán; si mantienen mi palabra guardarán la de ustedes también.";"bible"
"Seyni wa tye pejnunanuka kamrutingina ngiwaka chinanu, gi rixanu gi rumatluna wa nyokanatjeru.";"Todo esto les harán por causa de mi nombre, porque no conocen al que me envió.";"bible"
"Nuna. Nunkaklewywgitna gkojwakjenepa. Nma munkanumka, gimka nunkaklewyegitanna, gimka kmukochirepna, seyni nunkakna. Giyagni xani maleshayna rushyamukochiretinrina.";"Si no hubiera venido y no hubiera sido su maestro, no tendrían pecado; pero ahora no tienen motivo por su pecado.";"bible"
"Nayegixjeru Nuru koxa rayegixa.";"El que me aborrece odia a mi Padre.";"bible"
"Wane nma mixkanupa wanna yegi, satu mkamrutanutu, gimka waneyapna mukochirna. Ga wa xani Gita koxa ga wa Nuru koxa retna. Rayegixnona Gita ga Nuru koxa.";"Si no hubiera hecho entre ellos las obras que ningún otro hombre había hecho alguna vez, no tendrían pecado; pero ahora han visto, y han tenido odio en sus corazones por mí y mi Padre.";"bible"
"Seyni poyagkakikolupa yonchi chinyawaka Tokanchi Yokanatkaluruya wannanu: Gike chinanu rayegixnona.";"Esto sucede para que la escritura en su ley se haga realidad, Su odio por mí fue sin causa.";"bible"
"""Ga wa runanu Kgimnanukakleru, Wale Girchi yegi nyokanyegitangi, wa Giwekikaluru galikakpotu, wa Girchi yegi gishpakyachri. Wa runinipa, Wale gipgujtatanno.";"Cuando venga el Ayudador, a quien les enviaré de parte del Padre, el Espíritu del conocimiento verdadero que viene del Padre, él dará testimonio acerca de mí;";"bible"
"Wa gixa koxa gipgujtalewatanu gi rixanu nyinuwakinyakawa gimwano.";"Y ustedes, además, darán testimonio porque han estado conmigo desde el principio.";"bible"
"""Tyekaka nunkakgi gma pupjetinitipa.";"Les he dicho estas cosas para que no se ofendan y pierdan la fe.";"bible"
"Ginkaklewwakapjikaka giknokikolupa. Runanu gipapko wa katukokta giylatangi kagwakanru Goyakalu chinanu kamrurewatinri.";"Los sacarán de las sinagogas: sí, llegará el momento en que quien te mata creería que está haciendo un favor; el placer de Dios.";"bible"
"Tyekaka kamrutingina gi rixanu gi rumatluna Girchi, gi wa Gitako.";"Les harán estas cosas porque no conocieron al Padre ni a mí.";"bible"
"Seyni wa tyekaka nunkakgi, wa rapokinipa walepapko gishinkapanru wa wane nchinyagi. Seyni tyekaka gi nunkakgi muchinanu, gi rixanu gixa yegi nwa.";"Les he dicho estas cosas para que cuando llegue el momento, ustedes recuerden que los había prevenido. No se los dije al principio, porque entonces todavía estaba con ustedes.";"bible"
"Ga wa xani nyokanatjeru yegi nyanutka, ga wa gixa gi satuna gepomgano, '¿Ginaka pyanu?'";"Pero ahora voy al que me envió; y ninguno de ustedes me dice: ¿A dónde vas?";"bible"
"Seyni gi rixanu nunkakgi tyekakapirana gwamonnu mpachikgajita.";"Pero sus corazones están llenos de tristeza porque dije estas cosas.";"bible"
"""Seyni galikaka nunkakgi gipxakikolupni nyinripa, gi rixanu wane nma yakanu Kgimnanukakleru gi ginanmaka gixa yegi. Ga wa Gita wane yinipa, Wale nyokanyegitangi.";"Pero lo que digo es verdad: si me voy es para su beneficio; porque si no me voy, el Ayudador no vendrá a ustedes; pero si me voy, lo enviaré a ustedes.";"bible"
